bibItem,creatorstatement,listpos,givenName,lastName,fullName,fullName_clusters,fullName_recon_Wikidata,fullName_recon_Wikibase
https://monumenta.wikibase.cloud/entity/Q252,https://monumenta.wikibase.cloud/entity/statement/Q252-02810235-F0E8-427E-80FA-BAAC76FA41D2,1,Nicholaus,Landuchius,Nicholaus Landuchius,Nicholaus Landuchius,Nicholaus Landuchius,Nicholaus Landuchius
https://monumenta.wikibase.cloud/entity/Q341,https://monumenta.wikibase.cloud/entity/statement/Q341-4F462707-F5F7-4C71-9DBC-1F1FFCB390E6,1,Jean,Larrasquet,Jean Larrasquet,Jean Larrasquet,Jean Larrasquet,Jean Larrasquet
https://monumenta.wikibase.cloud/entity/Q415,https://monumenta.wikibase.cloud/entity/statement/Q415-14D91905-ED22-4548-84D0-26F886C6CF87,3,Egbert,Lehmann,Egbert Lehmann,Egbert Lehmann,Egbert Lehmann,Egbert Lehmann
https://monumenta.wikibase.cloud/entity/Q402,https://monumenta.wikibase.cloud/entity/statement/Q402-12FCA524-F762-4AEC-AA1E-D87DC8CB4BC3,3,Egbert,Lehmann,Egbert Lehmann,Egbert Lehmann,Egbert Lehmann,Egbert Lehmann
https://monumenta.wikibase.cloud/entity/Q299,https://monumenta.wikibase.cloud/entity/statement/Q299-4F1B6F27-034D-47EF-88A2-BBA67901A73D,1,Isaac,López-Mendizábal,Isaac López-Mendizábal,Isaac López-Mendizábal,Isaac López-Mendizábal,Isaac López-Mendizábal
https://monumenta.wikibase.cloud/entity/Q342,https://monumenta.wikibase.cloud/entity/statement/Q342-EB2B84D8-E591-4C40-9B8A-DFD305972677,1,Isaac,López-Mendizábal,Isaac López-Mendizábal,Isaac López-Mendizábal,Isaac López-Mendizábal,Isaac López-Mendizábal
https://monumenta.wikibase.cloud/entity/Q376,https://monumenta.wikibase.cloud/entity/statement/Q376-F3EAE4BD-39BF-403D-A713-10DA7CA6B6DC,2,Isaac,López-Mendizábal,Isaac López-Mendizábal,Isaac López-Mendizábal,Isaac López-Mendizábal,Isaac López-Mendizábal
https://monumenta.wikibase.cloud/entity/Q401,https://monumenta.wikibase.cloud/entity/statement/Q401-6EB467C4-1587-4AF0-8A08-06C0BD5CFD46,1,Thomas,Magay,Thomas Magay,Thomas Magay,Thomas Magay,Thomas Magay
https://monumenta.wikibase.cloud/entity/Q445,https://monumenta.wikibase.cloud/entity/statement/Q445-89BE1A09-32C7-4062-ADA2-8283F38F2BA7,2,Iker,Manterola,Iker Manterola,Iker Manterola,Iker Manterola,Iker Manterola
https://monumenta.wikibase.cloud/entity/Q446,https://monumenta.wikibase.cloud/entity/statement/Q446-9E3A1A96-B8D9-4AD2-9D2F-8CD567DA2FD0,1,Tinatin,Margalitadze,Tinatin Margalitadze,Tinatin Margalitadze,Tinatin Margalitadze,Tinatin Margalitadze
https://monumenta.wikibase.cloud/entity/Q415,https://monumenta.wikibase.cloud/entity/statement/Q415-B448D6F1-4A46-4CCB-823C-18D7583D38EB,7,David,Martínez,David Martínez,David Martínez,David Martínez,David Martínez
https://monumenta.wikibase.cloud/entity/Q409,https://monumenta.wikibase.cloud/entity/statement/Q409-E1166034-252A-4F7A-A83C-58C7F14A69F1,1,Concepción,Martínez Pasamar,Concepción Martínez Pasamar,Concepción Martínez Pasamar,Concepción Martínez Pasamar,Concepción Martínez Pasamar
https://monumenta.wikibase.cloud/entity/Q446,https://monumenta.wikibase.cloud/entity/statement/Q446-B6A16E1A-DE26-4764-8854-3537DE6AEE2B,2,George,Meladze,George Meladze,George Meladze,George Meladze,George Meladze
