item,itemLabel,P15_literal,P15_recon
https://monumenta.wikibase.cloud/entity/Q294,"Dictionnaire basque, français, espagnol et latin. D'après les meilleurs auteurs classiques et les Dictionnaires des Académies française et espagnole",Bayonne,Bayonne
https://monumenta.wikibase.cloud/entity/Q322,Vocabulaire français-basque. Les mots basques groupés d'après le sens,Bayonne,Bayonne
https://monumenta.wikibase.cloud/entity/Q335,Petit dictionnaire de poche français-basque,Bayonne,Bayonne
https://monumenta.wikibase.cloud/entity/Q417,"La guerre des alphabets: règles d'orthographe euskarienne, adoptées pour la publication du Dictionnaire basque, français, espagnol et latin / par Augustin Chaho",Bayonne,Bayonne
https://monumenta.wikibase.cloud/entity/Q247,Pierre d'Urteren Hiztegia: Londres 1715,Donostia,Donostia
https://monumenta.wikibase.cloud/entity/Q252,Dictionarium Linguae Cantabricae,Donostia,Donostia
https://monumenta.wikibase.cloud/entity/Q282,Iztegi Berezia,Donostia,Donostia
https://monumenta.wikibase.cloud/entity/Q290,El vocabulario vasco de Aránzazu-Oñate y zonas colindantes,Donostia,Donostia
https://monumenta.wikibase.cloud/entity/Q365,Dictionnaire basque-français et français-basque,Donostia,Donostia
https://monumenta.wikibase.cloud/entity/Q389,Apaiz baten iztegia,Donostia,Donostia
https://monumenta.wikibase.cloud/entity/Q407,Larramendiren hitz eraketa,Donostia,Donostia
https://monumenta.wikibase.cloud/entity/Q767,Euskara-Ingelesa Ingelesa-Euskara Hiztegia,Donostia,Donostia
https://monumenta.wikibase.cloud/entity/Q768,"Morris pocket : euskara-ingelesa, English-Basque",Donostia,Donostia
https://monumenta.wikibase.cloud/entity/Q769,"Morris student plus: euskara-ingelesa, English-Basque",Donostia,Donostia
https://monumenta.wikibase.cloud/entity/Q772,Euskal Hiztegia,Donostia,Donostia
https://monumenta.wikibase.cloud/entity/Q773,Hauta-Lanerako euskal hiztegia,Donostia,Donostia
https://monumenta.wikibase.cloud/entity/Q774,Euskal Hiztegia,Donostia,Donostia
https://monumenta.wikibase.cloud/entity/Q246,"L'interprect ou Traduction du français, espagnol & basque",Lyon,Lyon
https://monumenta.wikibase.cloud/entity/Q262,Vocabulaire basque,Toulouse,Toulouse
https://monumenta.wikibase.cloud/entity/Q262,Vocabulaire basque,Bayonne,Bayonne
